name,categories,address,price,rating,cuisine1,cuisine2,cuisine3,temp,no_Of_cusines
zaatar w zeit,Restaurant,"الرياض 12974, المملكة العربية السعودية",Moderate,7.9,Restaurant,,,2,1
loukoumades,"Dessert Shop, Café","Hamzah Road (حمزة بن عبدالمطلب), الرياض 12974, المملكة العربية السعودية",Cheap,7.0,Dessert Shop, Café,,1,2
so souffle,Café,"البديعة, الرياض 12974, المملكة العربية السعودية",Cheap,8.2,Café,,,2,1
broasted al najah,Fried Chicken Joint,"As Suwaidi Al Am. (Kaab Bin Zuhair St.), الرياض, المملكة العربية السعودية",Cheap,8.0,Fried Chicken Joint,,,2,1
coffee beans,Café,"As Suwaidi Al Am, As Sunnoh, Riyadh, المملكة العربية السعودية",Cheap,6.2,Café,,,2,1
dr.cafe coffee,Coffee Shop,"An-nassr Road (Alshabab st), Riyadh 11566, المملكة العربية السعودية",Cheap,8.0,Coffee Shop,,,2,1
caffeine injection,"Food Truck, Coffee Shop","Saeed AlSayed (Prince Turki AlAwwal), الرياض 13315, المملكة العربية السعودية",Cheap,7.5,Food Truck, Coffee Shop,,1,2
yatooq,"Coffee Shop, Factory","الرياض, المملكة العربية السعودية",Cheap,7.4,Coffee Shop, Factory,,1,2
hardee's,Burger Joint,"Sewdi, المملكة العربية السعودية",Cheap,7.4,Burger Joint,,,2,1
farouj al hada,Turkish Restaurant,المملكة العربية السعودية,Moderate,7.2,Turkish Restaurant,,,2,1
forouj al carawan restaurant,Turkish Restaurant,المملكة العربية السعودية,Moderate,7.6,Turkish Restaurant,,,2,1
molten,Café,"الرياض 12791, المملكة العربية السعودية",Cheap,8.0,Café,,,2,1
tim hortons,Coffee Shop,"الرياض 12683, المملكة العربية السعودية",Cheap,8.4,Coffee Shop,,,2,1
don’s,Food Truck,"الرياض 13513, المملكة العربية السعودية",Cheap,8.2,Food Truck,,,2,1
wingzilla,"Food Truck, Wings Joint","Hattain (Prince Saud bin Mohammed), الرياض 00966, المملكة العربية السعودية",Cheap,8.4,Food Truck, Wings Joint,,1,2
moroccan taste,Coffee Shop,"طريق الملك فهد بجانب عتيقه, الرياض, المملكة العربية السعودية",Cheap,7.4,Coffee Shop,,,2,1
mercato coffee,Café,المملكة العربية السعودية,Cheap,6.5,Café,,,2,1
coffee soul,Coffee Shop,"الرياض, المملكة العربية السعودية",Cheap,7.5,Coffee Shop,,,2,1
toffee coffee,Café,المملكة العربية السعودية,Cheap,7.7,Café,,,2,1
shallal restaurant,"Fried Chicken Joint, Fast Food Restaurant","Mansoura District (Kharj Road), الرياض, المملكة العربية السعودية",Cheap,8.2,Fried Chicken Joint, Fast Food Restaurant,,1,2
taxi - steak & burger,Fast Food Restaurant,"Al Shifa St, الرياض 13781, المملكة العربية السعودية",Cheap,6.2,Fast Food Restaurant,,,2,1
izmir kahuecisi,"Coffee Shop, Breakfast Spot","Tabuk Street, الرياض 13784, المملكة العربية السعودية",Cheap,7.5,Coffee Shop, Breakfast Spot,,1,2
